YILLAR;NÜFUS (KİŞİ);ELEKTRİK TÜKETİMİ (GWh);GSYH (MİLYAR $);BÜYÜME(%);İŞSİZLİK (%);TÜFE (%);DIŞ BORÇ (MILYAR $);ENFLASYON (%)
1960;27472339;2395,7;14;2,1;3,1;5,7;1,1;5
1961;28146909;2585,4;8;1,2;3,4;3,2;0,6;4,4
1962;28832831;3059,3;8,9;5,6;3,4;3,9;1;5,8
1963;29531362;3406,3;10,4;9,1;3,4;6,4;0,9;6,4
1964;30244258;3780,7;11,2;5,5;3,5;1,1;1;2,4
1965;30972996;4236,8;12;2,8;3,7;4,6;1,1;4,1
1966;31717504;4728,9;14,1;11,2;3,6;8,5;1,2;6
1967;32477994;5269,2;15,6;4,7;4,8;14;1,3;5,9
1968;33256465;5870,1;17,5;6,8;5,2;6,1;1,5;4,8
1969;34055391;6679;19,5;4,1;5,9;4,9;2,5;6,9
1970;34876296;7307,8;17,1;3,2;6,4;7,9;2,8;8,6
1971;35720603;8289,3;16,3;5,6;6,8;19;3,3;16,9
1972;36587267;9527,3;20,4;7,4;6,3;15,4;3,6;11
1973;37472329;10530,1;25,7;3,3;6,8;13,9;4,2;21,9
1974;38370278;11358,7;35,6;5,6;7,3;23,9;4,6;29
1975;39277249;13491,7;44,6;7,2;7,6;21,2;5,1;21,3
1976;40189561;16078,9;51,3;10,5;9;17,5;6;15,6
1977;41108290;17968,8;58,7;3,4;10;26;11,5;24,1
1978;42039983;18933,8;65,2;1,5;10,1;61,9;14,9;47,5
1979;42994043;19663,1;89,4;-0,6;8,9;63,5;15,9;76,7
1980;43975972;20398,2;68,8;-2,5;8,3;94,3;19,1;93
1981;44988411;22030;71;4,9;7,3;37,6;19,2;44,1
1982;46025411;23586,8;64,6;3,6;10,9;29,1;19,7;28,2
1983;47073470;24465,1;61,7;5;12,1;31,4;20,3;26,3
1984;48114158;27635,2;60;6,7;11,9;48,4;21,6;48,2
1985;49133928;29708,6;67,2;4,2;11,2;45;26;53,1
1986;50128548;32209,7;75,7;7;8,3;34,6;32,9;36
1987;51100930;36697,3;87,2;9,5;8,3;38,9;40,9;33,6
1988;52053764;39721,5;90,9;2,3;8;68,8;41;69
1989;52992479;43120;107,1;0,3;8,3;63,3;41,6;75,4
1990;53921758;46820;150,7;9,3;8;60,3;49,4;58,2
1991;54840595;49282,9;150;0,7;8,2;66;50,9;59,2
1992;55748946;53984,7;158,5;5;8,5;70,1;56,6;65,2
1993;56653808;59237;180,2;7,7;9;66,1;68,6;68,4
1994;57564209;61400,9;130,7;-4,7;8,6;105,2;66,3;104,8
1995;58486453;67393,9;169,5;7,9;7,6;89,1;73,8;86
1996;59423278;74156,6;181,5;7,4;6,6;80,4;80,6;77,2
1997;60372571;81885;189,8;7,6;6,8;85,7;84,7;81,5
1998;61329665;87704,6;276;2,4;6,9;84,6;97;143,6
1999;62287391;91201,9;256,4;-3,3;7,7;64,9;101,8;54,3
2000;63240196;98295,7;274,3;6,9;6,5;54,9;116,8;49,4
2001;64192243;97070;201,8;-5,8;8,4;54,4;113;53
2002;65145357;102948;240,3;6,5;10,4;45;129,5;37,6
2003;66089402;111766;314,6;5,8;10,5;21,6;144,1;23,3
2004;67010930;121141,9;408,9;9,8;10,8;8,6;159,6;12,4
2005;67903461;130262,9;506,3;9;10,6;8,2;173,6;7,1
2006;68756809;144091,4;557,1;7;8,7;9,6;211;9,4
2007;69581854;155135,2;681,3;5;8,9;8,8;260;6,2
2008;70418612;161947,6;770,5;0,8;9,7;10,4;290,6;12,1
2009;71321406;156894,1;649,3;-4,8;12,6;6,3;278,8;5,5
2010;72326992;172050,6;777;8,4;10,7;8,6;300,9;7
2011;73443254;186099,5;838,8;11,2;8,8;6,5;305,6;8,2
2012;74651046;194923,4;880,6;4,8;8,2;8,9;338,8;7,4
2013;75925454;198045,2;957,8;8,5;8,7;7,5;390,4;6,3
2014;77229262;207375,1;939;4,9;9,9;8,9;406,1;7,4
2015;78529413;263828,5;864,3;6,1;10,2;7,7;400;7,8
2016;79827868;277200;869,7;3,3;10,8;7,8;409,4;8,1
2017;81116451;294900;859;7,5;10,8;11,1;456,6;11
2018;82340090;300100;778,5;3;10,9;16,3;446;16,5
2019;83429607;290445;759,9;0,9;13,7;15,2;440,8;13,9
2020;84339067;290856;720,3;1,8;13,9;12,3;435,9;14,8
2021;84680273;329000;819;11;11,2;19,6;453,5;36,1
2022;85279553;328700;905,5;5,6;10,4;72,3;459;64,3
